type,epsilon,perplexity,distance
b,3,13,5.35209148623237
w,3,13,128.300049489642
b,3,14,4.62381303349516
w,3,14,105.051905010234
b,3,15,5.55912368687716
w,3,15,147.372503302954
b,3,16,3.08151925337144
w,3,16,78.8113633031846
b,3,17,4.52210706121163
w,3,17,113.418508297178
b,3,18,4.07891370135071
w,3,18,107.6666684927
b,3,19,3.79274762974088
w,3,19,91.9232335580554
b,3,20,3.4642704716544
w,3,20,91.0726751744437
b,3,21,3.08801276004111
w,3,21,81.3011540181468
b,3,22,2.37133779319965
w,3,22,61.0279443276518
b,3,23,2.59201201725426
w,3,23,54.894327629373
b,3,24,2.50774702020416
w,3,24,56.5663711593259
b,3,25,2.464118600519
w,3,25,61.165031230909
b,3,26,2.04678344693561
w,3,26,50.5540599054474
b,3,27,1.91181168588749
w,3,27,44.1723542241337
b,3,28,1.62224359547951
w,3,28,36.4976952345606
b,3,29,1.76946196222235
w,3,29,42.5435120089087
b,3,30,1.68182951936024
w,3,30,34.950787655545
b,3,31,1.36066980327073
w,3,31,34.4289154693089
b,3,32,1.33971930940044
w,3,32,31.4932347573155
b,3,33,1.08550569871638
w,3,33,27.4403667768419
b,3,34,0.718248396861578
w,3,34,17.7018023226396
b,3,35,1.10934157404414
w,3,35,24.391298622121
b,3,36,1.45337705921418
w,3,36,22.2740539777073
b,3,37,1.21078649765982
w,3,37,18.9785376456991
b,3,38,1.30618140612968
w,3,38,18.0391743870264
b,3,39,1.67755224895341
w,3,39,19.3101171638459
b,3,40,1.37285672584424
w,3,40,17.8148508033954
b,3,41,1.67755224895341
w,3,41,18.3647380450796
b,3,42,1.63664677870088
w,3,42,19.191100151517
b,3,43,1.67755224895341
w,3,43,20.2379793047981
b,3,44,1.67755224895341
w,3,44,22.2716514275851
b,3,45,1.80348857822274
w,3,45,23.5367241027127
b,3,46,1.80348857822274
w,3,46,25.4022866874575
b,3,47,1.80348857822274
w,3,47,27.2937298093423
b,3,48,1.80348857822274
w,3,48,29.2721656380533
b,3,49,1.80348857822274
w,3,49,28.134812224499
b,3,50,1.80348857822274
w,3,50,27.0759959833796
b,3,51,1.80348857822274
w,3,51,27.0759959833796
b,3,52,1.80348857822274
w,3,52,27.0759959833796
b,3,53,1.80348857822274
w,3,53,27.0759959833796
b,3,54,1.80348857822274
w,3,54,27.0759959833796
b,3,55,1.80348857822274
w,3,55,27.0759959833796
b,3,56,1.80348857822274
w,3,56,27.0759959833796
b,3,57,1.80348857822274
w,3,57,27.0759959833796
b,3,58,1.80348857822274
w,3,58,27.0759959833796
b,3,59,1.80348857822274
w,3,59,27.0759959833796
b,3,60,1.80348857822274
w,3,60,27.0759959833796
b,3,61,1.80348857822274
w,3,61,27.0759959833796
b,3,62,1.80348857822274
w,3,62,27.0759959833796
b,3,63,1.80348857822274
w,3,63,27.0759959833796
b,3,64,1.80348857822274
w,3,64,27.0759959833796
b,3,65,1.80348857822274
w,3,65,27.0759959833796
b,3,66,1.80348857822274
w,3,66,27.0759959833796
b,3,67,1.80348857822274
w,3,67,27.0759959833796
b,3,68,1.80348857822274
w,3,68,27.0759959833796
b,3,69,1.80348857822274
w,3,69,27.0759959833796
b,3,70,1.80348857822274
w,3,70,27.0759959833796
b,3,71,1.80348857822274
w,3,71,27.0759959833796
b,3,72,1.80348857822274
w,3,72,27.0759959833796
b,3,73,1.80348857822274
w,3,73,27.0759959833796
b,3,74,1.80348857822274
w,3,74,27.0759959833796
b,3,75,1.80348857822274
w,3,75,27.0759959833796
b,3,76,1.80348857822274
w,3,76,27.0759959833796
b,3,77,1.80348857822274
w,3,77,27.0759959833796
b,3,78,1.80348857822274
w,3,78,27.0759959833796
b,3,79,1.80348857822274
w,3,79,27.0759959833796
b,3,80,1.80348857822274
w,3,80,27.0759959833796
b,3,81,1.80348857822274
w,3,81,27.0759959833796
b,3,82,1.80348857822274
w,3,82,27.0759959833796
b,3,83,1.80348857822274
w,3,83,27.0759959833796
b,3,84,1.80348857822274
w,3,84,27.0759959833796
b,3,85,1.80348857822274
w,3,85,27.0759959833796
b,3,86,1.80348857822274
w,3,86,27.0759959833796
b,3,87,1.80348857822274
w,3,87,27.0759959833796
b,3,88,1.80348857822274
w,3,88,27.0759959833796
b,3,89,1.80348857822274
w,3,89,27.0759959833796
b,3,90,1.80348857822274
w,3,90,27.0759959833796
b,3,91,1.80348857822274
w,3,91,27.0759959833796
b,3,92,1.80348857822274
w,3,92,27.0759959833796
b,3,93,1.80348857822274
w,3,93,27.0759959833796
b,3,94,1.80348857822274
w,3,94,27.0759959833796
b,3,95,1.80348857822274
w,3,95,27.0759959833796
b,3,96,1.80348857822274
w,3,96,27.0759959833796
b,3,97,1.80348857822274
w,3,97,27.0759959833796
b,3,98,1.80348857822274
w,3,98,27.0759959833796
b,3,99,1.80348857822274
w,3,99,27.0759959833796
b,3,100,1.80348857822274
w,3,100,27.0759959833796
b,4,2,57.0813747009408
w,4,2,1211.07174351947
b,4,3,30.4851081844227
w,4,3,1013.01165756699
b,4,4,33.4656030743949
w,4,4,762.17262329599
b,4,5,22.9493735385156
w,4,5,520.552583539171
b,4,6,39.4682865820366
w,4,6,978.055526119179
b,4,7,25.6328155641499
w,4,7,643.617400737901
b,4,8,21.7335217302782
w,4,8,593.534175510375
b,4,9,15.3068310197543
w,4,9,399.210411303208
b,4,10,10.1202312307147
w,4,10,204.147282389891
b,4,11,10.2402638417381
w,4,11,259.147321595822
b,4,12,6.91820363619114
w,4,12,191.067933720565
b,4,13,5.97436620922861
w,4,13,155.171722192483
b,4,14,6.1823386986746
w,4,14,155.288516132113
b,4,15,3.79006571281536
w,4,15,88.852097908896
b,4,16,4.41682263741949
w,4,16,88.6710888161737
b,4,17,3.56740884341449
w,4,17,91.6648418073878
b,4,18,4.157519051534
w,4,18,111.279489006075
b,4,19,4.03593511754264
w,4,19,93.2241555608015
b,4,20,3.46205598450633
w,4,20,87.2556334433368
b,4,21,3.17785368618944
w,4,21,81.8361033592978
b,4,22,3.33833804806273
w,4,22,74.8112446261358
b,4,23,2.79469816111567
w,4,23,69.870287900703
b,4,24,2.71553840710065
w,4,24,59.6529618616302
b,4,25,2.35304932617409
w,4,25,60.8260441136449
b,4,26,2.2745971387348
w,4,26,55.079824455651
b,4,27,2.11830452116934
w,4,27,51.1288622944667
b,4,28,1.71975207905203
w,4,28,45.9742466965972
b,4,29,1.91265343902513
w,4,29,38.4167864947132
b,4,30,1.6850594512554
w,4,30,31.3713050039565
b,4,31,1.5235460614367
w,4,31,34.8748848271298
b,4,32,1.05975070630258
w,4,32,23.3810804422491
b,4,33,0.85585710869464
w,4,33,21.8991457479812
b,4,34,0.97146169934331
w,4,34,23.5750426842899
b,4,35,0.84636622010889
w,4,35,19.2527826804971
b,4,36,0.86000545771561
w,4,36,22.0171475207948
b,4,37,1.41012952791971
w,4,37,20.912535354442
b,4,38,0.877187071868744
w,4,38,7.19789787985694
b,4,39,1.36228083394429
w,4,39,17.962057785239
b,4,40,1.36763904910315
w,4,40,18.6990615529654
b,4,41,1.30426908599731
w,4,41,19.7053855474849
b,4,42,1.67755224895341
w,4,42,18.9118574935828
b,4,43,1.67755224895341
w,4,43,21.0663240666789
b,4,44,1.67755224895341
w,4,44,21.3253541726983
b,4,45,1.80348857822274
w,4,45,23.264640297365
b,4,46,1.74088263441225
w,4,46,25.762389565314
b,4,47,1.80348857822274
w,4,47,27.9936887080454
b,4,48,1.80348857822274
w,4,48,28.8951896166094
b,4,49,1.80348857822274
w,4,49,28.202537761004
b,4,50,1.80348857822274
w,4,50,27.0759959833796
b,4,51,1.80348857822274
w,4,51,27.0759959833796
b,4,52,1.80348857822274
w,4,52,27.0759959833796
b,4,53,1.80348857822274
w,4,53,27.0759959833796
b,4,54,1.80348857822274
w,4,54,27.0759959833796
b,4,55,1.80348857822274
w,4,55,27.0759959833796
b,4,56,1.80348857822274
w,4,56,27.0759959833796
b,4,57,1.80348857822274
w,4,57,27.0759959833796
b,4,58,1.80348857822274
w,4,58,27.0759959833796
b,4,59,1.80348857822274
w,4,59,27.0759959833796
b,4,60,1.80348857822274
w,4,60,27.0759959833796
b,4,61,1.80348857822274
w,4,61,27.0759959833796
b,4,62,1.80348857822274
w,4,62,27.0759959833796
b,4,63,1.80348857822274
w,4,63,27.0759959833796
b,4,64,1.80348857822274
w,4,64,27.0759959833796
b,4,65,1.80348857822274
w,4,65,27.0759959833796
b,4,66,1.80348857822274
w,4,66,27.0759959833796
b,4,67,1.80348857822274
w,4,67,27.0759959833796
b,4,68,1.80348857822274
w,4,68,27.0759959833796
b,4,69,1.80348857822274
w,4,69,27.0759959833796
b,4,70,1.80348857822274
w,4,70,27.0759959833796
b,4,71,1.80348857822274
w,4,71,27.0759959833796
b,4,72,1.80348857822274
w,4,72,27.0759959833796
b,4,73,1.80348857822274
w,4,73,27.0759959833796
b,4,74,1.80348857822274
w,4,74,27.0759959833796
b,4,75,1.80348857822274
w,4,75,27.0759959833796
b,4,76,1.80348857822274
w,4,76,27.0759959833796
b,4,77,1.80348857822274
w,4,77,27.0759959833796
b,4,78,1.80348857822274
w,4,78,27.0759959833796
b,4,79,1.80348857822274
w,4,79,27.0759959833796
b,4,80,1.80348857822274
w,4,80,27.0759959833796
b,4,81,1.80348857822274
w,4,81,27.0759959833796
b,4,82,1.80348857822274
w,4,82,27.0759959833796
b,4,83,1.80348857822274
w,4,83,27.0759959833796
b,4,84,1.80348857822274
w,4,84,27.0759959833796
b,4,85,1.80348857822274
w,4,85,27.0759959833796
b,4,86,1.80348857822274
w,4,86,27.0759959833796
b,4,87,1.80348857822274
w,4,87,27.0759959833796
b,4,88,1.80348857822274
w,4,88,27.0759959833796
b,4,89,1.80348857822274
w,4,89,27.0759959833796
b,4,90,1.80348857822274
w,4,90,27.0759959833796
b,4,91,1.80348857822274
w,4,91,27.0759959833796
b,4,92,1.80348857822274
w,4,92,27.0759959833796
b,4,93,1.80348857822274
w,4,93,27.0759959833796
b,4,94,1.80348857822274
w,4,94,27.0759959833796
b,4,95,1.80348857822274
w,4,95,27.0759959833796
b,4,96,1.80348857822274
w,4,96,27.0759959833796
b,4,97,1.80348857822274
w,4,97,27.0759959833796
b,4,98,1.80348857822274
w,4,98,27.0759959833796
b,4,99,1.80348857822274
w,4,99,27.0759959833796
b,4,100,1.80348857822274
w,4,100,27.0759959833796
b,5,2,54.7425357642568
w,5,2,1306.99351510586
b,5,3,54.131273892863
w,5,3,1373.11577031268
b,5,4,48.4020321757444
w,5,4,1154.25223651725
b,5,5,42.304269584925
w,5,5,912.375256086591
b,5,6,27.6154411363629
w,5,6,597.814169698429
b,5,7,27.4320374680509
w,5,7,761.773723359943
b,5,8,31.0311463024981
w,5,8,759.084586342496
b,5,9,18.8024931754457
w,5,9,518.321749711407
b,5,10,12.9677670431889
w,5,10,355.593912347877
b,5,11,9.03569911044837
w,5,11,231.185548127797
b,5,12,6.73992011098289
w,5,12,137.164946297896
b,5,13,6.29448054441976
w,5,13,165.555073702734
b,5,14,6.43781790833883
w,5,14,153.356077721869
b,5,15,4.41402052030068
w,5,15,99.8977558256719
b,5,16,4.58768946898052
w,5,16,116.089126036674
b,5,17,4.08348850378366
w,5,17,102.486587949683
b,5,18,3.96307515051754
w,5,18,108.211872502325
b,5,19,4.03286043176957
w,5,19,93.3739930341665
b,5,20,3.05850248430604
w,5,20,82.6552805542583
b,5,21,3.18730810007546
w,5,21,82.0693251913558
b,5,22,1.44606769047179
w,5,22,40.5970315870634
b,5,23,2.36293129554313
w,5,23,49.7415470154525
b,5,24,2.73446239607347
w,5,24,63.1355655482043
b,5,25,1.5858277662301
w,5,25,44.9496466177846
b,5,26,2.3596726916121
w,5,26,54.4712216404285
b,5,27,2.03841446395947
w,5,27,50.1723460281407
b,5,28,2.0935611751353
w,5,28,46.6610179834681
b,5,29,1.80324661020996
w,5,29,37.8817579265148
b,5,30,1.67398579384454
w,5,30,34.8064668791866
b,5,31,1.14634284799211
w,5,31,32.776782142534
b,5,32,1.41902891398898
w,5,32,31.3649486672274
b,5,33,1.22237378506613
w,5,33,29.5286337600772
b,5,34,0.978235723140228
w,5,34,23.134585832685
b,5,35,0.904691002486742
w,5,35,24.0446043942664
b,5,36,1.11620539533979
w,5,36,21.3591572440505
b,5,37,1.24592046757177
w,5,37,21.1716449215766
b,5,38,1.65136827752242
w,5,38,20.3866891785215
b,5,39,1.67755224895341
w,5,39,19.3350736701264
b,5,40,1.5854834541832
w,5,40,18.7852555819026
b,5,41,1.67755224895341
w,5,41,19.1471800631328
b,5,42,1.64166936351263
w,5,42,18.8012968136407
b,5,43,1.67755224895341
w,5,43,21.5806185940572
b,5,44,1.67755224895341
w,5,44,20.6095520718805
b,5,45,1.80348857822274
w,5,45,23.1500614683578
b,5,46,1.78018112126875
w,5,46,24.8919630099844
b,5,47,1.80348857822274
w,5,47,27.7928524159958
b,5,48,1.80348857822274
w,5,48,28.6825380915924
b,5,49,1.80348857822274
w,5,49,28.152033076849
b,5,50,1.80348857822274
w,5,50,27.0759959833796
b,5,51,1.80348857822274
w,5,51,27.0759959833796
b,5,52,1.80348857822274
w,5,52,27.0759959833796
b,5,53,1.80348857822274
w,5,53,27.0759959833796
b,5,54,1.80348857822274
w,5,54,27.0759959833796
b,5,55,1.80348857822274
w,5,55,27.0759959833796
b,5,56,1.80348857822274
w,5,56,27.0759959833796
b,5,57,1.80348857822274
w,5,57,27.0759959833796
b,5,58,1.80348857822274
w,5,58,27.0759959833796
b,5,59,1.80348857822274
w,5,59,27.0759959833796
b,5,60,1.80348857822274
w,5,60,27.0759959833796
b,5,61,1.80348857822274
w,5,61,27.0759959833796
b,5,62,1.80348857822274
w,5,62,27.0759959833796
b,5,63,1.80348857822274
w,5,63,27.0759959833796
b,5,64,1.80348857822274
w,5,64,27.0759959833796
b,5,65,1.80348857822274
w,5,65,27.0759959833796
b,5,66,1.80348857822274
w,5,66,27.0759959833796
b,5,67,1.80348857822274
w,5,67,27.0759959833796
b,5,68,1.80348857822274
w,5,68,27.0759959833796
b,5,69,1.80348857822274
w,5,69,27.0759959833796
b,5,70,1.80348857822274
w,5,70,27.0759959833796
b,5,71,1.80348857822274
w,5,71,27.0759959833796
b,5,72,1.80348857822274
w,5,72,27.0759959833796
b,5,73,1.80348857822274
w,5,73,27.0759959833796
b,5,74,1.80348857822274
w,5,74,27.0759959833796
b,5,75,1.80348857822274
w,5,75,27.0759959833796
b,5,76,1.80348857822274
w,5,76,27.0759959833796
b,5,77,1.80348857822274
w,5,77,27.0759959833796
b,5,78,1.80348857822274
w,5,78,27.0759959833796
b,5,79,1.80348857822274
w,5,79,27.0759959833796
b,5,80,1.80348857822274
w,5,80,27.0759959833796
b,5,81,1.80348857822274
w,5,81,27.0759959833796
b,5,82,1.80348857822274
w,5,82,27.0759959833796
b,5,83,1.80348857822274
w,5,83,27.0759959833796
b,5,84,1.80348857822274
w,5,84,27.0759959833796
b,5,85,1.80348857822274
w,5,85,27.0759959833796
b,5,86,1.80348857822274
w,5,86,27.0759959833796
b,5,87,1.80348857822274
w,5,87,27.0759959833796
b,5,88,1.80348857822274
w,5,88,27.0759959833796
b,5,89,1.80348857822274
w,5,89,27.0759959833796
b,5,90,1.80348857822274
w,5,90,27.0759959833796
b,5,91,1.80348857822274
w,5,91,27.0759959833796
b,5,92,1.80348857822274
w,5,92,27.0759959833796
b,5,93,1.80348857822274
w,5,93,27.0759959833796
b,5,94,1.80348857822274
w,5,94,27.0759959833796
b,5,95,1.80348857822274
w,5,95,27.0759959833796
b,5,96,1.80348857822274
w,5,96,27.0759959833796
b,5,97,1.80348857822274
w,5,97,27.0759959833796
b,5,98,1.80348857822274
w,5,98,27.0759959833796
b,5,99,1.80348857822274
w,5,99,27.0759959833796
b,5,100,1.80348857822274
w,5,100,27.0759959833796
b,6,2,56.508907976873
w,6,2,1179.00298260523
b,6,3,34.800608381171
w,6,3,878.19080700527
b,6,4,39.8921281386754
w,6,4,959.131076567104
b,6,5,28.0700143536675
w,6,5,488.230816646784
b,6,6,37.4937552679635
w,6,6,804.700660019963
b,6,7,29.6084542393348
w,6,7,826.729500846638
b,6,8,18.8409995842953
w,6,8,377.17930840266
